Passage,Summary,Style
"중소벤처기업부장관 박영선] ""자영업자의 숫자가 700만에 가깝게 늘어나고 있는 그런 상황이기 때문에 그분들의 어려운 점을 정부가 양극화를 해소한다는 차원에서는 이런 정도의 지원도 하나의 대책이고 정책일 수 있다 이렇게 이해를 해 주셨으면 좋겠습니다.""
오신환 위원] ""제가 봐서는 실패하기가 굉장히 쉽다 이렇게 보고요.  2019년도의 서울시의 이용 금액 목표치가 8조 5300억인데 현재 시점에서 이룬 목표 달성률이 0.06%에 해당되는 수치뿐이 안 돼요. 그러니까 이것이 말만 그렇지 지금 세금은 기하급수적으로 쏟아 붓고…… 이것이 안 되니까 더 하려고 하겠지요 실패한 정책으로 가면 안 되니까.  그런데 기존에 있는 시장을 무시하면서 이것을 정부가 공공의 이익이라는 측면에서 어프로치한다는 것 자체가 저는 그러면 시장을 죽이면서까지 가는 건데……""
중소벤처기업부장관 박영선] ""그렇게 시장을 죽이면서까지 가는 정도로 해서는 안 된다고 저는 생각합니다.""
오신환 위원] ""이게 제로섬게임이 되는 건데 그러면 안 그렇게 될 수 있는 방법이 뭐지요?""
중소벤처기업부장관 박영선] ""왜냐하면 은행이나 기존의 간편결제 시스템에 들어오지 못했던 금융사가 있지 않습니까? 그런 금융사에게는 또 하나의 기회가 될 수도 있는 것입니다. 그렇기 때문에 이런 간편결제 시스템과 또 신용카드사가 경쟁 관계에 있는 것은 맞습니다마는 신용카드라는 것이 수수료율이 너무 높기 때문에 또 그런 부분을 간편결제 시스템이 들어와서 신용카드의 수수료율도 좀 낮추는 효과 이런 것들도 있습니다. 그러니까 서로 경쟁하는 관계에 있습니다.""
",박 중소벤처기업부장관은 간편결제 시스템과 신용카드사는 경쟁관계에 있지만 간편결제 시스템이 들어오면서 신용카드의 높은 수수료율이 낮아지는 효과도 있다고 했다.,Cartton style
"김도읍 위원] ""그러면 장애인 생존권에 대해서는 어떻게 생각하십니까?""
법무부장관후보자 조국] ""알고 계시겠습니다만 저희 집안에 장애인이 있습니다. 그 점에 있어서는 제가 장애인 운동을 하지 않지만 장애인이 어떤 힘든 삶을 살고 있는지 잘 알고 있습니다. 그렇게만 말씀드리겠습니다.""
김도읍 위원] ""특히 시각장애인들 생존권 알고 계시지요?""
법무부장관후보자 조국] ""알고 있습니다.""
김도읍 위원] ""오래전부터 시각장애인들은 직업을 가질 수 없기 때문에 안마사는 시각장애인만 하도록 그렇게 돼 있지요?""
법무부장관후보자 조국] ""예.""
김도읍 위원] ""의료법 82조인가 그런데요. 그게 위헌입니까 합헌입니까?""
법무부장관후보자 조국] ""제 개인 의견은 아직 깊이 고민을 못 해 봤습니다.""
김도읍 위원] ""아니 헌법재판소 결정이.""
법무부장관후보자 조국] ""헌재 결정 말입니까?""
김도읍 위원] ""예.""
법무부장관후보자 조국] ""한번 확인해 보겠습니다. 제가 실수할까 봐 좀 저어돼서 한번 확인을 하겠습니다.""
김도읍 위원] ""사회적 관심이 그렇게 많은 분이 어떻게 장애인 쪽에는 관심이 없는 모양인데요.""
법무부장관후보자 조국] ""죄송합니다. 제가 기억이 좀……""
김도읍 위원] ""오래전부터 불법 안마시술소에서 위헌 소송을 제기했지요. 그런데 합헌 결정이 계속 나오고 있지요.  2016년도 같은 경우에도 안마시술 프랜차이즈 업체가 소송을 제기하고 김앤장이 그 안마시술 프랜차이즈 업체를 변론하면서 한 번 또 곤욕을 치른 적 있는데 혹시 기억나십니까?""
",김 위원은 안마사를 시각장애인만 하게 되어 있는데 헌법재판소 결정이 위헌인지 합헌인지 물었다.,Cartton style
"문화체육관광부장관후보자 도종환] ""예 그렇게 하겠습니다.  광주시민들의 의견 또 관련 5ㆍ18 단체들의 의견 이런 것들을 수렴해서 어떻게 하면 지금 말씀하신 원형 복원이 가능할지를 고민하고 또 방법을 찾겠습니다.""
송기석 위원] ""그리고 한 가지 추가해서 말씀드리고 싶은 것은 종로에 대한민국역사박물관 있지 않습니까?""
문화체육관광부장관후보자 도종환] ""예.""
송기석 위원] ""제가 보기에는 현재 운영이라든가 안에 전시돼 있는 공간 이런 부분 보면 지나치게 좀 경도돼 있지 않나라는 생각이 듭니다.  정기 간행물 내용만 보더라도 정말 우려하지 않을 수 없는 그런 상황인 것 같습니다.  예를 들자면 청소년 관련된 만화 이렇게 만들었는데 그 내용을 보면 사실 정부에서 제주도 4ㆍ3 사건은 어떤 정도의 성격 규정이 이미 이루어졌습니다. 그럼에도 불구하고 거기에 보면 ‘남로당의 무장반란’ 이렇게만 평가하고 ‘소탕’ 이렇게만 본 것입니다. 사실 어떻게 보면 경찰 이런 공권력에 제주도민들이 당했던 한 이런 것들은 제대로 표현해 놓지 않은 것이지요. 결국 왜곡시키고 있는 것이지요.  그 부분도 다시 한번 전면적으로 재검토했으면 좋겠습니다.""
문화체육관광부장관후보자 도종환] ""예 잘 알겠습니다.""
송기석 위원] ""이상입니다.""
위원장 유성엽] ""수고하셨습니다.  다음은 염동열 간사님.""
염동열 위원] ""저는 안 하겠습니다.""
위원장 유성엽] ""안 하시기로 감사합니다.  마지막으로……""
",송 위원은 운영이나 전시돼 있는 공간을 보면 지나치게 경도돼 있는 것 같다며 공권력에 제주도민이 당했던 것들을 제대로 표현해 놓지 않아 왜곡시키고 있다고 했다.,Cartton style
"고용노동부장관후보자 방하남] ""위원님 제가 정확한 정보를 가지고 있지 않고 위원님이 말씀하신 사실만 가지고 판단하기가 상당히 어렵습니다.""
장하나 위원] ""아까는 언론을 통해서 보았다고 하셨지 않았습니까?""
고용노동부장관후보자 방하남] ""언론을 통해서 제가 본 것은 굉장히 굵은 내용들이기 때문에 지금 자세하게 말씀하신 부분은 제가 여기 있지 않았기 때문에 들을 수가 없었던 것입니다. 그런 것을 말씀드리는 것이고요.   그래서 그 부분에 대해서 제가 판단이 어렵……""
장하나 위원] ""제가 질의를 마치려고 하는데 언론을 통해서 당시 김무성 총괄본부장과 황우여 당 대표가 대선 이후 임시회가 열리면 쌍차 국정조사에 대해서 진행을 하겠다고 발언을 했다고요. 그런데 그런 게 언론을 통해서 많이 보도가 됐는데 거기에 대한 정정보도라든가 아니면 입장을 바꾼다는 말 없이 지금 이 시점까지 왔다면 국민들은 여전히 그것을 대선 공약으로 생각을 하겠느냐 안 하겠느냐 이렇게 얘기를 드렸지 이 보도된 내용의 진위까지는 저는 말도 하지 않았습니다.  답변은 거기까지만 듣겠습니다.   이런 말씀까지 드리게 될 줄은 저는 오늘 아침에 청문회 시작하면서는 상상조차 못했습니다. 저는 지난 환경부장관후보자 청문회 때도 논문에 대한 논란도 있었고 하지만 특별히 어떤 낙마라든가 이런 얘기들이 거론이 안 되었고 그것은 여야 위원님들이 암묵적으로 합의가 된 어떤 그런 분위기가 있었습니다. 그런데 저는 오늘은 어떤……꼭 논문이라든지 아니면 부동산 위장전입이나 병역 비리 이런 도덕적 흠결만 지금 많은 청문회에서 중심적으로 부각되는 반면 저는 사실 이런 국무위원 후보자의 자질을 얘기할 때 사실은 역량이라든가 업무 능력이 중심이 되어야 되는데 이렇게 진이 빠지고 지금은 후보자 청문회 보고서 채택을 과연 손쉽게 가져갈 수 있을까 이런 생각이 들고요. 이것은 여야 간사 위원님과 위원장님께서 좀 신중하게 검토를 정말 해 주십시오.  그리고……""
",장 위원은 환경부장관후보자 청문회 때 논문에 대한 논란이 있었지만 낙마가 거론되지 않고 여야 위원들이 암묵적으로 합의된 분위기였다고 했다.,Cartton style
"채이배 위원] ""성향 분석을 말씀하시는 거지요?""
법원행정처장 조재연] ""동창 관계라든가 이런 거를 전부 다가 아니고 일부에 대해서 해 놓은 자료는 봤습니다.""
채이배 위원] ""거기에 국회의원의 법원에 대한 민원사항 같은 것들이 기재돼 있나요?""
법원행정처장 조재연] ""없습니다.""
채이배 위원] ""없어요?   아무튼 그러면 그런 문건을 작성한 것 자체는 정상적인 업무였다고 생각하세요?""
법원행정처장 조재연] ""글쎄 보기 나름이고 제가 전에 행정처에 있지 않아서 모르겠는데 법원도 입법안이라든가 여러 가지 대국회 관계가 있기 때문에 의원님들에 대해서 개략적인 지역구라든가 이런 것에 대해서 하고……""
채이배 위원] ""파악하고 있어야 된다?""
법원행정처장 조재연] ""예 그 정도 파악한 걸로 알고 있습니다.""
채이배 위원] ""아무튼 제가 듣기로는 그런 문건들 그게 제목이 어떠한지는 모르겠으나 국회의원들의 개별 청탁 내용들이 정리된 문건들이 있을 거라는 그런 얘기를 들은 바가 있는데 만일 그런 문건들이 있다면 그거는 과연 정상적인 업무라고 생각하십니까?""
법원행정처장 조재연] ""우선 국회의원께서 사법부에 재판 청탁을 한다는 것 자체가 정상적인 일이 아니고……""
채이배 위원] ""자체가 안 되기 때문에 그런 문건도 있으면 안 되겠지요?""
법원행정처장 조재연] ""그런 것을 또 사법부가 무슨 문건으로 작성한다는 게 정상적일 리가 없지요.""
채이배 위원] ""아무튼 국회의원 재판 청탁은 지금 임종헌 공소장에 나와 있고 사실로 드러났다고 생각을 하고요. 이런 일이 일어난 것 자체는 제가 보기에는 사실이라고 본다면 이걸 그냥 덮어 둬야 되는 건가요?""
",채 위원이 국회의원들의 개별 청탁 내용이 정리된 문건이 있다면 그것이 정상적인 업무라고 생각하는지 묻자 조 법원행정처장은 정상적일 리 없다고 했다.,Cartton style
"위원장 신학용] ""변영섭 청장님 인사해 주시기 바랍니다.""
문화재청장 변영섭] ""존경하는 신학용 위원장님 그리고 위원 여러분!  감사합니다. 2013년도 문화재청 소관 추가경정예산안을 심의 의결하여 주신 데 대하여 깊이 감사드립니다. 아울러 추경예산안 심사를 위해 수고해 주신 유기홍 소위 위원장님과 소위 위원님들께도 감사드립니다.  문화재청은 심의 의결해 주신 추경예산을 통해 문화재를 체계적으로 보존ㆍ관리하고 지역경제를 활성화하여 일자리가 창출될 수 있도록 노력을 기울이겠습니다. 그리고 증액하여 주신 예산은 예산결산특별위원회의 심의과정에서 반영될 수 있도록 최선을 다하겠습니다. 지속적인 관심과 지원을 부탁드립니다.   고맙습니다.""
위원장 신학용] ""다음은 의사일정 제2항 제3항 이학재 의원이 발의한 일본의 교과서 왜곡 바로잡기 촉구 결의안과 유기홍 의원이 발의한 일본의 독도 왜곡 고등학교 교과서 검정 승인 취소 촉구 결의안에 대한 의견 제시의 건을 일괄하여 상정합니다.   두 의원님들의 제안설명과 전문위원의 검토보고는 책상 위에 있는 서면으로 대체하도록 하겠습니다.(이상 2건 제안설명서는 끝에 실음)(이상 2건 검토보고서는 부록으로 보존함)  두 건의 의견 제시의 건에 대해서 모두들 잘 아시고 계시기 때문에 또 기타 의견이 계시면 말씀해 주시기 바랍니다.  기타 의견 없으시지요?    (「예」 하는 위원 있음)  그러면 이 안건에 대한 우리 위원회의 의견 정리에 대해서는 위원장과 간사에게 위임해 주시면 협의하여 처리하도록 하고자 하는데 이의 없으십니까?     (「예」 하는 위원 있음)  없으면 가결되었음을 선포합니다.  위원님 여러분 서남수 장관님ㆍ유진룡 장관님ㆍ변영섭 청장님을 비롯한 관계관 여러분 수고하셨습니다.""
",문화재청은 증액된 예산을 반영될 수 있게 최선을 다하며 추경예산을 통해 문화재를 보존·관리하고 지역경제를 활성화하여 일자리가 창출될 수 있도록 노력하겠다고 했다.,Cartton style
"이철희 위원] ""아니 그러니까……""
국방부장관 한민구] ""그것이 예를 들면 05시 27분 오십 몇 초 이런 식으로 계산이 될 수도 있고 그런데 그것을 이제 27분으로 표기하느냐 28분으로 하느냐 이런 문제들이 좀 있어서 그런데 그것은 나중에 정확히 한 번 더 설명을 드리도록 하겠습니다.""
이철희 위원] ""31분으로 했다가 29분으로 바뀌었다는 것은 언뜻 이해하기 어렵고요. 이렇게 미사일 탐지ㆍ추적하는데 2분 차이는 굉장히 저는 큰 차이일 것 같은데 나중에라도 왜 이런지 저한테 설명을 좀 어떤 분이 해 주셨으면 좋겠고요.""
국방부장관 한민구] ""예 그렇게 하겠습니다.""
이철희 위원] ""그다음에 우리하고 미국은 지금 비슷하게 보는 것 같은데요 북한 미사일 이번 핵실험하고 관련해서.""
국방부장관 한민구] ""예.""
이철희 위원] ""일본은 조금 다르게 봤었잖아요? ICBM급으로 추정한다 했는데 지금 우리 보고 문건에는 IRBM급으로 평가하고 있는데 그럼 일본도 이 분석에는 동의한 겁니까?""
국방부장관 한민구] ""제가 일본 방위대신과 전화 통화를 했을 때 저희의 평가결과를 이야기하였는데 거기에 동의한다라고 얘기했습니다.""
이철희 위원] ""동의한다고 그랬습니까?""
국방부장관 한민구] ""예.""
이철희 위원] ""그러면 ICBM급이라고 하는 것은 그쪽 사정이 있어서 그렇게 해석했다 이렇게 저희가 추론해 볼 수는 있겠네요. 그렇지요?""
국방부장관 한민구] ""그런 것은 저희 분석이 정확합니다.""
",이 위원은 북한 미사일 핵실험과 관련해서 일본은 ICBM급으로 추정한다고 했는데 우리 보고 문건에는 IRBM급으로 평가하는데 그렇다면 일본도 이 분석에 동의한 건지 물었다.,Cartton style
"국토교통부장관 서승환] ""지금 여기도 마찬가지로 SOC 사업 예산 축소가 영향은 일정 정도 미칠 수밖에 없다라고 생각하고 있습니다마는 저희들이 아무튼 정책 목표로 가지고 있는 것이 그동안에는 도시 간에 걸치는 투자를 주로 했습니다마는 도시 내 혼잡의 문제를 완화시키기 위해서 투자를 좀 늘려야 되겠다라는 생각을 하고 있기 때문에 최대한 저희들이 노력을 해서 집행하도록 하겠습니다.""
이종진 위원] ""장관님 시간이 많지 않습니다마는 내년 예산과 관련해서 아마 부처 예산을 6월 중으로 기재부에 넘겨야 된다고 생각을 합니다.   지방 예산과 관련해서 몇 가지 질의하겠습니다.   대구의 경우 유통단지에서 이시아폴리스 간이 혼잡도로로 2011년도에 지정이 되었습니다. 내년도 예산에 용역비로 10억 원을 요구했습니다. 지원할 의향이 계시는지……""
국토교통부장관 서승환] ""신청하도록 하겠습니다.""
이종진 위원] ""두 번째로는 대구 외곽순환고속도로가 현재 실시설계가 완공돼서 2014년도부터 본격적으로 추진이 됩니다. 이 2개 구간의 공사비로 2014년도에 1000억 원을 신청했는데 약 330억 원만 계상을 하고 있습니다. 요청한 예산의 3분의 1 정도밖에 안 됩니다.   장관님이 혼잡도로 개선에 의지가 있는지 정말 의심스러운 내용입니다. 요청한 금액 전액을 반영해 줄 의사가 없는지 한번 검토해 주시겠습니까?""
국토교통부장관 서승환] ""적극 노력하겠습니다마는 아시는 것처럼 여러 번 지적된 것처럼 지금 SOC 예산에 어려운 점이 조금 있습니다. 하여튼 최대한 노력하겠습니다.""
",이 위원은 대구 외곽순환고속도로 추진에 요청한 예산의 3분의 1 정도 밖에 안된다며 요청한 금액 전액을 검토해 달라고 말했다.,Cartton style
"농림축산식품부장관 이동필] ""글쎄요 아직은 좀 지켜봐야 되겠습니다.""
이양수 위원] ""지금 저희가 건의를 했습니다. 건의를 했는데 뭐가 받아…… 많은 것을 건의했지요. 그런데 뭐가 받아들여질지 뭐가 안 받아들여질지도 지금 모르는 그런 상황이거든요. 그런데 제가 지금 상정하는 최악의 시나리오는 다 안 받아들여지는 겁니다. 농산물과 축산물 이런 것에만 특혜를 줄 수 없다 그래 가지고 다 안 된다고 그래 버리면 저희가 정말 어려운 환경에 처해 있는 농업인들을 뵐 면목이 없게 되는 것이거든요.  그래서 지금 어떤 것들이 받아들여질 것인지 어떤 것은 안 받아들여질 것인지 그것을 먼저 파악을 해야 될 것 같고요. 그리고 최소한 이것은 반드시 받아들여져야 된다라고 하는 것을 우리 부가 가지고 쥐고 있어야 될 겁니다. 이 부분은 꼭 해 줘야 된다라는 걸 그거 안 되면 진짜 아주 심각한 저항에 부딪칠 거라고 하는 그런 이것은 반드시 해야 된다라는 그것을 쥐고 있어야 될 것 같고요.  그리고 그런 것들이 다 안 된다면 차선의 대안도 가지고 있어야 될 것 같아요. 예를 들어 이 법의 시행을 우선 국회의원이나 그다음에 고위공무원단만 1년 동안 실시해 보는 겁니다.  사실 이 법이 우리 사회에 얼마나 혼란을 줄지 제대로 시행이 될지 지금 의문이 많지 않습니까. 국회의원들과 고위공무원단만 고통을 먼저 체험한다는 차원에서 1년 시행해 보고 그리고 그 효과를 봐서 또 1년 뒤에 추가로 더 확대해서 실시하고 확대해서 실시하고 그래서 장기적으로 10년 정도 해 가지고 우리 농업인들도 대비할 시간을 가지고요. 그리고 우리 사회도 이러한 법의 갑작스런 시행에 대비할 시간을 갖고 여유를 갖고 그랬으면 좋겠다 하는 생각이 들거든요.  그래서 장관님께서 우리 부를 대표하셔서 정부에 이런 일련의 것들을 한번 건의를 해 주시면 어떨지 견해는 어떠신지 한번……""
",이 위원이 농산물과 축산물에만 특혜를 줄 수 없으니 다 안된다고 하면 농업인들을 뵐 면목이 없다고 말했다.,Cartton style
"정성호 위원] ""저는 총리나 그 위의 어떤 다른 정치권에서 빨리 인사를 요구한다고 하더라도 이것은 반드시 차기 정부로 미뤄야 됩니다. 왜냐? 그러지 않고 인사하게 됐을 때 다음 정권으로 어떤 정권이 왔을 때 정말 더 큰 인사 회오리가 올 수 있기 때문에 차관이 반드시 그런 원칙을 지켜야 그것은 지금 차관이 답변할 사항은 아니지만 그 원칙은 분명히 지켜야 된다고 생각합니다.   결국 가장 중요한 것이 사실은 인사예요. 검사들이 승진 인사에 목매 가지고 청와대 바라보고 이 정치적인 혼란기에 또 정치권에 줄 대려고 하고 이런 행태가 반복되면 그게 통하지도 않겠지만 검찰이 영원히 국민들로부터 신뢰를 잃습니다. 그런 것 때문에 검찰이 갖고 있는 막강한 권한을 제한하자고 하는 국민적인 요구 정치권의 요구가 굉장히 많은 것 알고 계시지요?""
법무부장관직무대리 이창재] ""예 잘 알고 있습니다.""
정성호 위원] ""딱 하나입니다 정치적 독립. 그렇기 때문에 이 기회에 그냥……    (발언시간 초과로 마이크 중단)    (마이크 중단 이후 계속 발언한 부분)자리만 보전하고 장관 직무대행으로서 즐길 게 아니라 단호하게 검찰이 해야 될 일들 작년에 공공부문들 많은 성과도 있었지만 지난번에 보조금 지급에 있어서 횡령 사건들 전국 지자체나 그런 게 무척 많습니다.   정말 이런 권력교체기에 줄 댈까 눈치 볼 게 아니라 검찰이 해야 될 일들 국가의 안정을 위해서 국민에게 필요한 일들 그 일들을 차관이 단호하게 지휘하고 총장하고 협의해 가지고 그런 노력들을 해야만 검찰에 대한 신뢰가 조금이라도 나아질 수 있습니다.   당부드리는 바입니다.""
",정 위원은 인사를 할 경우 다음 정권이 왔을 때 큰 인사 회오리가 올 수 있어 차기 정부로 인사를 미뤄야 한다고 했다.,Cartton style
