Passage,Summary,Style
"노무현 대통령께서 오늘 8월15일 광복60주년 기념식에서 이런 요지로 말씀하셨습니다.
먼 훗날 우리 후손들이 오늘날의 역사를 보고 우리가 세계정세에 어두웠다고 하지는 않을 것이다. 역대 정부가 냉전체제 붕괴 이후의 변화하는 세계질서에 잘 대처해 왔다고 생각한다. 앞으로도 우리 국민은 한반도와 주변질서에 능동적으로 대처해나갈 것이다. 그럴만한 충분한 안목을 갖추고 있다고 생각한다. 그러나 유감스럽게도 아직 자신있게 말하기 어려운 일도 있다. 우리 역사에 뿌리깊이 내려온 분열은 얼마나 극복되었으며 앞으로 또다른 분열의 소지는 없을 것인지, 그리고 이로 인해 나라가 다시 위기에 빠지는 일은 없을 것인지 묻는다면, 자신있게 그렇지 않다고 말하기는 어려운 것이 사실다. 아직도 우리 사회는 크게 세 가지 분열의 요인을 안고 있다. 그 하나는 역사로부터 물려받은 분열의 상처이고, 그 둘은 정치 과정에서 생긴 분열의 구조이며, 그 셋은 경제적 사회적 불균형과 격차로부터 생길지도 모르는 분열의 우려다. 나라를 지속적인 발전의 토대 위에 단단하게 올려놓기 위해서, 그리고 또다시 나라가 위기에 빠지지 않게 하기 위해서, 우리는 반드시 이 분열과 갈등의 원인과 구조를 해소해야 한다. 우리가 역사에서 물려받은 분열의 상처는 친일과 항일, 좌익과 우익, 그리고 독재시대의 억압과 저항의 과정에서 비롯된 것이다. 이를 극복하기 위해서는 그 시대 역사에 대한 올바른 정리와 청산이 이루어져야 한다>
",노 대통령이 역대 정부는 변화하는 세계질서에 잘 대처해 왔으며 앞으로도 우리 국민은 주변질서에 능동적으로 대처해나갈 것이라고 말했다.,Caricature
" 키징거는 대인(對人)관계가 원만하고 관계자들 사이에서 타협을 잘 이끌어낸다고 해서 ‘걸어 다니는 중재위원회’로 불렸다. 그래서 서로 정책이 엇갈리는 독일의 양대 정당인 기민당·기사당과 사민당 연립정부의 총리로는 딱 적합한 인물이었다.
 그가 총리가 될 때, 그의 나치 이력이 다시 문제가 됐다. 하지만 외무부 근무 시절 그가 반(反)나치 성향을 보였다는 동료의 증언을 담은 문건이 발견되면서 고비를 넘길 수 있었다.
 ‘코끼리들의 결혼식’이라고 불리는 기민·기사당-사민당 대연정이 수립된 것은 그만큼 당시 과제들이 산적해 있었기 때문이다. 연합국이 갖고 있는 비상사태 권한을 독일 정부가 인수하기 위한 기본법 개정과 비상사태법 제정이 가장 큰 과제였다. 키징거는 정치적 입장이 정반대인 양대 정당, 저마다 대단한 개성을 가진 거물 정치인들로 구성된 연립정부를 이끌면서 이 숙제를 잘 해결했다.
 하지만 키징거는 ‘68사태’로 대변되는 시대정신의 변화에는 대응하지 못했다. 기성세대는 전후(戰後) 혹독한 폐허에서 미증유의 경제적 풍요와 정치적 자유를 일궈냈지만, 젊은 세대는 그에 대해 고마워하기는커녕 “당신은 나치 시절에 뭐 했느냐?”고 대드는 시절이 온 것이다. 자신을 ‘스스로 원하지 않았지만 불법을 자행한 국가에 휩쓸려서 범죄를 저지르지 않았음에도 무거운 책임을 져야 하는 세대의 대표자’라고 생각했던 키징거는 이런 흐름을 읽지 못했다. 그가 젊은 여성에게 따귀를 맞는 봉변을 당한 것도 그래서였다.
",걸어 다니는 중재위원회로 불렸던 키 씨는 독일의 양대 정당인 기민당·기사당과 사민당 연립정부의 총리로 적합한 인물이었다.,Caricature
" 10대의 솔직함과 몸의 열정을 경험하고도 이를 표현하지 못하고 성장한다면, 타인과 자신을 사랑하는 방법을 몰라 불모의 성인이 될지 모른다. 마치 ‘애어른’처럼.
 다시 네루다의 이야기로 돌아가자.
 그는 사범대학에서 불문학을 공부했지만 학문보다 시 쓰는 일에 더 흥미를 느꼈다. 20대 초에 이미 2권의 시집을 출간해 칠레에서 가장 유명한 시인이 되었다. 시집 《스무 편의 사랑의 시와 한 편의 절망의 노래》는 1989년 1월 민음사를 통해 국내 번역됐다.
 시인이자 외교관이 된 그는 주 스페인 영사로 근무했다. 그 시절 프랑코 독재정권이 들어서고, 절친한 친구이자 시인인 가르시아 로르카(Garcia Lorca)가 내전 과정에서 처형되자 분노해 반(反)파시즘 시를 쓰기 시작했다.
 1945년 모국 칠레로 돌아온 시인은 공산당에 가담, 상원의원이 됐으나 비합법 정당으로 규정되자 멕시코로 망명했다. 1970년 아옌데 정권이 들어선 뒤 주 프랑스 대사가 됐고, 이듬해 노벨문학상을 수상했다.
 1973년 칠레 육군 참모총장이던 아우구스토 피노체트가 아옌데 정권을 쿠데타로 무너뜨리고 집권하자 병상에서 항의 시를 쓰다가 세상을 떠났다. 이후 독살설이 제기됐다. 당시 69세였던 네루다는 암 치료를 받고 있었다. 네루다의 운전기사는 “시인이 산티아고 병원에서 정체불명의 주사를 맞은 뒤 고통을 호소했다”고 증언했다.
 40년 뒤인 지난 2013년, 칠레 정부가 타살 의혹을 규명하겠다며 유해를 묘소에서 꺼냈다. 그러나 의혹은 해소되지 않았다. 정부는 타살 증거가 없다고 발표했지만 유족들은 국제 전문가들의 추가 조사를 요구했다.
",네루다는 사범대학에서 불문학을 공부했지만 학문보다 시 쓰는 일에 더 흥미를 느꼈다.,Caricature
"금융기관들이 현재의 단기위주 수신구조 하에서 장기 고정금리부 대출을 늘리는 것은 자산부채의 만기불일치로 인한 유동성 위험이 높아짐. 이에 대하여 장기 회사채 발행 등을 통하여 수신구조를 장기화하여야 하며, MBS의 발행 및 유통시장을 활성화되도록 하는 것이 필요함. 
주택가격 안정을 위한 대책 추진에 따라 주택금융 관련 규제들이 강화되면서 주택가격 안정에 크게 기여하고 있으나 한편 주택금융시장의 자율적 조정기능이 저하되는 것은 바람직하지 않음.  
 비정규직 고용문제의 현황과 정책과제 비정규직 문제는 우리 경제의 효율성과 형평성을 좌우하는 중요한 정책과제 중의 하나이며, 정규직과 비정규직의 격차는 사회통합을 저해하고 경제성장의 걸림돌로 작용할 수 있으므로 비정규직 고용의 유연성을 확보하면서도 안정성을 강화하는 정책방향 설정이 중요함. 현재 우리나라 비정규직 근로자의 규모는 2001년 이후 지속적으로 증가해 왔으나 최근에는 정체 추세에 있음.
 2007년 상반기 경제운용방향 및 정책과제 분석 현재 비정규직 근로자는 약 546만 명이며 전체 임금근로자중 비중은 35.5%에 달함. 비정규직 중 기간제 근로자의 비중이 49.9%로 가장 높으며 외국에 비해 높은 수준임.",자산부채의 만기불일치로 금융기관들의 유동성 위험이 높아지는 것에 대비하여 장기 회사채 발행 등을 통하여 수신구조를 장기화하는 것이 필요하다.,Caricature
"《진시황 프로젝트》로 제1회 대한민국 뉴웨이브 문학상(조선일보)을 수상했던 유광수(劉光洙) 작가의 두 번째 장편소설이다. 《왕의 군대》는 쇄국과 개국 사이의 혼란, 청나라와 일본의 야욕, 민씨 일가의 폭정으로 암울했던 1880년대 초반을 배경으로 하고 있다. 
 흥선대원군이 일선에서 물러나고 민씨 일가의 부정이 극에 달한 고종(高宗) 치하의 한양, 검은 복면을 한 ‘흑표’가 나타나 일본이나 청(淸)과의 화친을 주장하는 고관대작들을 연쇄 살해하는 것으로 스토리는 시작된다. 김옥균(金玉均)은 오래전 정조(正祖) 대왕이 남긴 두 유산에 대한 정보를 얻었다. 
 하나는 다산 정약용(丁若鏞)에게 맡긴 금괴고, 다른 하나는 연암 박지원(朴趾源)에게 맡긴 군대다. 김옥균은 왕(王) 없는 새로운 세상을 꿈꾸며, 정조의 군대를 그 목적을 위한 군대로 만들려고 한다. 고종은 그 군대가 철저하게 자신의 군대라 생각하며 김옥균을 통해 군대를 육성하려 한다. 
 김옥균은 조선의 군대가 적절할 때 도착하리라는 믿음을 갖고 갑신정변을 일으킨다. 고종을 하야시키기 위해 진군하기로 했던 군대는 출동하지 못했고, 일본은 약속한 군사를 보내지 않았고, 청은 개화당 정권을 무력 진압하러 들어온다. 결국 개혁은 실패로 끝나고, 개화당도, 고종도, 의병파도, 모두 저마다의 소신으로 나라를 위했으나 결국 아무도 꿈을 이루지 못한 채, 그 혼란과 비극의 72시간은 막을 내린다.
",김옥균은 조선의 군대가 적절할 때 도착하리라는 믿음을 갖고 갑신정변을 일으켰지만 결국 개혁은 실패로 끝났다.,Caricature
"위에서 언급한 여러 가지 법제도적 문제점을 해결하지 않은 채 현행 주민등록증의 투자비용을 상회하는 막대한 비용을 들여 무리하게 차세대 주민등록증 도입을 추진하려는 것은 재고의 여지가 있다고 볼 수 있다.지금까지 약 억원이 투입되어 구축된 현행 플라스틱형 주민등록증 체제를 도입 6년만에 안정성 ․효율성이 충분히 검증되지도 않은 전자주민증으로대체하려는 계획은 사업의 타당성에 대한 충분한 사전분석이 필요한 사업이므로 조급하게 추진하기 보다는 국민의 의견을 광범위하게 수렴하는 절차를 거,쳐 국민의 편의와 안정성을 고려한 사업추진이 되어야 할 것이다.15) 현행 플라스틱형 주민증의 초기비용이 1,000원 정도였으나 현재는 개당 3,090원까지 상승한 점을 고려한다면 차세대 주민증의 경우 초기 비용 만원정도에서 향후 더욱 상승할 가능성도 있다고 보여진다. 차세대 주민등록증을 전자주민등록증으로 경신하려는 정부의 계획은 국민생활의 편리와 사생활보호의 안전성을 담보하고 삶의 질을 향상하는데 기여해야 한다. 이러한 점에서 여러 가지 법제도적인 측면에서의 전제조건에 대한 고려가 필요하다고 볼 수 있다. 우선 현행 주민등록증이 전자주민카드화될 때 개인정보의 집적이 불가피하게 발생되리라고 예상되기 때문에 신원확인 과정에서수집된 정보를 임의로 사용하거나 다른 목적으로 사용할 때는 법적 제재를 가 하는 법제도적 장치가 구비되어야 할 것이다.",처세대 주민등록증을 전자주민등록증을 경신하는 것은 법제도적 측면에서 전제조건에 대한 고려가 필요하다.,Caricature
"한편 조달청은 비축자금으로 2004년도 기준으로 알루미늄, 아연, 니켈, 주석 등 주요 원자재의 국내 수입수요 20일분의 비축규모를 유지하고 있었으나 2005년에는 25일분, 2006년에는 30일분까지 비축규모를 확대할 계획이다. 그러나 주요 선진국의 경우 최소한 국내 수요의 2개월분을 비축하고 있는 것과 비교해 볼 때 미흡한 수준으로 비축규모에 대한 확대 검토가 계속 필요하다. 그리고 2006년도 예산안에 따른 30일분의 재고를 확보하기 위해서도 약 5,100억원의 자금이 필요하므로 2005년 현재 보유액 2,600억원보다 비축자금으로 약 2,500억원의 추가자금이 필요하나 최근 회전자금 조성 현황과 향후 조달 사업 이익잉여금의 회전자금전출 규모를 볼 때 단시일 내에 비축자금의 확보는 현실적으로 어려운 상황이다. 따라서 조달청에서는 수요기관의 수요물자 대금에 대한 납입기한을 30일에서 15일로 단축하여 약 1,500억원을 비축자금으로 자체 조성할 계획임을 밝히고 있으나 비축규모 확대를 보다 원활히 추진하기 위해서는 일반회계로부터 조달청 회전자금으로의 전출방안에 대한 검토도 필요한 시점이다.","조달청은 비축자금으로 알루미늄, 아연 등 주요 원자재의 국내 수입수요의 비축규모를 확대할 계획이지만 주요 선진국과 비교해 볼 때 미흡한 수준으로 확대 검토가 필요하다.",Caricature
" 사쓰마의 시마즈 가문은 16세기 후반부터 남규슈의 패자(覇者)로 군림했다. 일본의 패권을 놓고 1600년 벌어진 세키가하라전투에서 도쿠가와 이에야스(德川家康)에게 맞섰다가 패하기는 했지만, 사쓰마번은 도쿠가와 막부 시절 내내 비(非)도쿠가와계 번 중에서는 최대 규모, 일본 전역을 통틀어 세 번째 규모의 웅번(雄藩)이었다.
 제11대 번주 시마즈 나리아키라는 자신의 별저(別邸)인 센간엔(仙巖園)에 근대식 공업시설인 슈세이칸(集成館)을 설치, 사쓰마번 차원의 부국강병(富國强兵)정책을 추진했다. 사이고 다카모리를 발탁한 것도 나리아키라였다.
 1858년 시마즈 나리아키라가 죽은 후, 그의 조카인 시마즈 다다요시가 뒤를 이었다. 다다요시의 아버지 시마즈 히사미쓰가 섭정(攝政)으로 사실상 번주 역할을 했다.
 당시 일본은 1853년 페리 제독의 내항과 이듬해 미일수호조약 체결 이후 격동 속으로 빠져들고 있었다. 도쿠가와 막부에 불만을 품은 세력들은 존왕양이(尊王攘夷)를 부르짖었다. ‘존왕’은 ‘막부타도’, ‘양이’는 ‘배외주의(排外主義)’를 의미했다. 특히 1600년 세키가하라전투에서 패한 후 도쿠가와 막부에게 영토의 3분의 2를 빼앗기고 혼슈(本州) 서쪽 끝으로 쫓겨 가야 했던 조슈(長州·야마구치)는 교토(京都)의 천황 세력을 선동하면서 존왕양이 운동의 선봉에 섰다.
 반면에 시마즈 히사미쓰는 과격한 존왕양이 주장은 배격하면서 도쿠가와 막부 내부의 개혁을 주장했다. 여기에는 나리아키라의 양녀 아쓰히메(篤姫·1836~1883)가 도쿠가와 막부의 제13대 쇼군 도쿠가와 이에사다(德川家定)에게 시집간 것도 작용했을 것이다.
",사쓰마의 시마즈 가문은 남규슈의 패자로 군림했고 사쓰마번은 도쿠가와 막부 시절 내내 비도쿠가와계 번 중에서는 일본 전역을 통틀어 세 번째 규모의 웅번이었다.,Caricature
" 조금 자세히 보자. 기원 5세기 반달족, 6세기 롬바르드족의 침입을 피해 온 사람들과 토착 어민들은 베네치아 석호(潟湖) 외곽의 리도(Lido)와 토르첼로(Torcello) 등 외곽 섬들에 모여 살기 시작했다. 샤를마뉴가 정복을 시도하다 포기한 후 베네치아는 아예 신성로마 제국과 이탈리아 왕국의 경계 밖으로 분류가 된다. 이래저래 육지 길이 막혀 생존의 통로가 바닷길 뿐이었다. 해양제국으로서의 미래가 타의(他意)로 열린 것이다. 
 베네치아가 리알토(Rialto) 섬을 중심으로 공공건물들을 세우고 정부체제를 정비한 것은 9세기 들어서다. 베네치아의 두 중심 통령궁(Palazzo ducale)과 산마르코 교회(Basilica di San Marco)를 세운 것도 이때다. 내외에 국가로서의 성립을 알린 셈이다.
 기원 1000년은 베네치아가 인근 아드리아의 해적들을 소탕하고 달마티아에 첫 식민지를 개척한 해다. 해양국가로서의 첫걸음이다. 이를 기념한 행사가 유명한 ‘바다와의 혼인(Sposalizio del Mar)’ 축제다. 대소 선박들이 한껏 성장하고 총출동한 가운데 통령(統領, Doge)의 배가 카날그란데(Canal Grande)를 미끄러져 내려와 산마르코 앞바다에 반지를 토스해 던진다. 베네치아와 바다가 떨어질 수 없는 사이가 되는 것이다. 유럽을 여행하다 보면 역사에 뿌리를 둔 각종 축제들이 많지만 자타 공인 축제의 효시는 이 혼인행사다. 
",기원 1000년은 베네치아가 해양국가로서의 첫걸음으로 아드리아의 해적을 소탕하고 달마티아에 첫 식민지를 개척한 해다.,Caricature
" 프리토리아에서 북쪽으로 80km 지점. 비포장 길을 따라 마을 안쪽 깊숙이 위치한 초등학교(Ikhwezilethemba Primary school)를 방문했다. 일요일이라 현지 예배가 예정돼 있단다. 
 나는 주일학교 예배에 참석했다. 예배는 정말 신났다. 축제라 해도 무방할 정도였다. 회중(會衆)은 노래를 부를 땐 잠시라도 가만히 있질 못했다. 절대자를 향한 뜨거운 열정은 노래가 되고, 또 춤이 됐다. 스와힐리어 메시지는 귀를 먹게 했지만 그들의 찬양은 마음의 눈을 열게 했다. 
 완벽한 하모니다. 웬만한 합창단보다 더 깊은 여운이 남는다. 동정심에 춰주는 게 결코 아니다. 진정 영혼의 울림이 전해진다. 어떻게 정규교육을 받지 않은 아이들이 저토록 곱고 화려한 음색(音色)을 낼 수 있을까. 아프리카에 내려진 신(神)의 은총이라고 여길 수밖에. 
 “저기에서 노래 부르는 아이 중 몇몇은 HIV 바이러스 보균자이고, 또 몇몇은 매우 불우한 환경에서 지낸답니다.”
 성가대에는 아이를 업은 아이, 가정이 깨지고 학교에 나가지 못하는 에이즈에 걸린 아이들도 있다. 자신이 겪어야 할 고단한 세상사를 아직 제대로 인지하지 못하는 아이들은 그래서 환한 미소로 노래를 부를 수 있는 것일까. 
 예배가 끝나자 아이들이 금방 주위로 몰려들었다. 녀석들이 가장 좋아하는 건 내 머리를 만지는 일. 나는 기꺼이 그들의 손에 내 머리를 맡겼다. 이들에게 긴 생머리는 놀라운 발견이자 호기심의 대상이다. 수십 번의 쓰다듬음을 거치고 나서야 머리 만지는 손길이 잠잠해진다. 
",비포장길을 따라 마을 안쪽 깊숙이 위치한 초등학교를 방문해 주일학교 예배에 참석했다.,Caricature
